PublicID,Date,Latitude,Longitude,strike1,dip1,rake1,strike2,dip2,rake2,ML,Mw,Mo,CD,NS,DC,Mxx,Mxy,Mxz,Myy,Myz,Mzz,VR,Tva,Tpl,Taz,Nva,Npl,Naz,Pva,Ppl,Paz
2016p858815,20161113181600,-42.5715,173.2079,33,71,105,173,24,53,4.9,4.6,1.13e+23,6,6,68,173.29,308.30,486.06,-759.92,-700.65,586.63,63,-1225.12,61,326,197.40,15,208,1027.72,25,111
2016p858848,20161113183400,-41.8028,174.2084,59,87,-160,327,70,-3,5.2,4.8,2.37e+23,17,6,69,1860.04,996.64,-543.38,-2096.30,702.93,236.26,83,-2569.19,12,191,2171.80,70,67,397.39,16,285
2016p858895,20161113185900,-42.2754,173.8256,177,54,53,49,50,129,5.2,5.0,3.75e+23,13,9,27,1039.20,2290.62,387.96,-3649.76,419.71,2610.56,73,-4591.21,61,26,1685.65,29,200,2905.56,2,292
2016p859036,20161113201400,-42.2357,173.8941,189,48,76,30,44,106,5.0,4.5,7.35e+22,14,8,61,65.97,312.37,64.38,-701.04,87.72,635.07,80,-814.74,79,30,160.15,11,198,654.60,2,289
2016p859051,20161113202200,-42.3126,173.8155,247,86,-145,155,55,-5,5.0,4.6,1.14e+23,11,10,75,675.39,644.89,536.35,-667.08,-407.12,-8.31,79,-1216.46,21,16,1066.57,55,252,149.89,27,117
2016p859270,20161113221900,-42.3912,173.2141,157,81,9,66,81,171,5.4,5.1,6.01e+23,11,11,92,4240.86,3996.46,1269.82,-4315.59,548.07,74.73,83,6132.56,13,22,-5892.18,77,201,-240.39,0,112
2016p859378,20161113231700,-42.1294,173.8546,45,51,118,185,46,60,5.2,4.8,2.26e+23,8,8,55,138.87,1285.18,516.34,-1922.41,27.70,1783.53,87,-2548.40,69,19,569.73,21,206,1978.67,3,116
2016p859439,20161113234900,-41.7109,174.3457,337,53,81,172,38,102,5.2,4.9,3.16e+23,20,6,97,-207.99,-793.48,-632.85,-2813.53,-663.07,3021.52,76,-3143.44,79,209,-41.75,7,342,3185.19,8,74
2016p859625,20161114012800,-42.0522,173.9810,239,84,154,331,64,6,5.2,4.9,2.88e+23,16,4,54,1851.13,1389.45,-874.32,-2618.42,756.59,767.29,68,-3252.34,22,193,2503.61,64,47,748.73,14,288
2016p859628,20161114013000,-42.3670,173.7613,56,75,114,177,28,34,5.3,5.1,5.26e+23,10,8,40,288.17,3059.55,3115.01,-2187.93,-2633.36,1899.76,75,-6189.32,54,356,1866.84,23,229,4322.48,26,128
2016p859929,20161114041000,-42.1553,173.5954,172,79,-16,265,75,-168,4.9,4.6,1.13e+23,5,8,60,416.46,1055.83,82.41,-91.38,-229.18,-325.08,89,1252.31,3,219,-1002.48,71,317,-249.82,19,128
2016p860053,20161114051600,-42.4441,173.4866,70,75,147,170,58,18,5.0,4.8,2.31e+23,11,12,57,467.17,1789.45,935.34,-1364.43,-200.93,897.26,80,-2587.86,34,26,2026.79,54,228,561.07,11,123
2016p860567,20161114094900,-42.4273,173.7920,96,81,167,188,77,9,5.0,5.1,5.02e+23,5,4,64,-819.63,4661.37,1172.50,1383.66,1174.19,-564.03,81,5518.74,16,52,-4517.70,74,242,-1001.04,3,142
2016p860592,20161114100300,-42.5979,173.2972,253,88,-124,160,34,-3,4.9,4.6,1.13e+23,11,7,94,394.22,509.80,877.32,-336.54,-321.84,-57.68,75,-1144.67,34,11,1107.56,34,254,37.11,38,133
2016p860725,20161114111400,-41.6919,174.2682,209,50,122,344,49,57,4.8,4.5,7.69e+22,19,6,10,446.56,163.00,-37.37,-974.48,14.64,527.92,75,-993.17,66,186,449.09,24,6,544.07,1,277
2016p860729,20161114111600,-41.7052,174.2662,326,78,13,233,77,167,5.1,4.8,2.09e+23,19,8,47,1554.49,662.27,-326.36,-2292.99,-69.31,738.50,69,-2403.86,18,190,1772.73,72,7,631.13,1,99
2016p860816,20161114120300,-42.4156,173.6269,101,76,153,198,64,16,4.8,4.5,6.21e+22,14,7,70,-377.15,480.36,206.32,182.11,115.93,195.04,72,-671.01,29,57,571.68,60,255,99.33,8,151
2016p861632,20161114191700,-42.2626,173.6904,46,66,124,168,41,39,5.0,4.9,2.62e+23,15,10,36,803.98,1348.58,885.69,-2330.76,-900.19,1526.78,86,-3120.44,56,1,998.46,31,210,2121.98,14,112
2016p862356,20161115014300,-41.6616,174.2572,222,52,129,348,52,50,5.2,4.8,2.30e+23,20,9,37,858.41,965.87,-427.95,-2475.05,-106.22,1616.63,64,-2734.70,60,195,860.90,30,15,1873.81,0,105
2016p862636,20161115041200,-42.5608,174.0119,47,56,94,219,34,84,4.8,4.8,1.94e+23,9,9,35,-641.35,1470.87,528.16,-783.49,-481.28,1424.84,78,-2320.68,78,333,757.15,4,224,1563.53,11,134
2016p862742,20161115050900,-42.2688,173.6219,31,52,94,204,38,84,5.4,5.1,5.58e+23,17,9,93,-1034.08,2359.14,917.72,-4264.82,-1028.61,5298.90,78,-5672.08,82,324,189.41,3,208,5482.67,7,118
2016p865557,20161116060900,-41.6947,174.3635,165,70,45,56,48,153,4.9,4.4,5.50e+22,14,4,81,180.56,257.42,162.58,-439.98,255.46,259.42,74,522.48,46,30,54.93,41,183,-577.40,13,286
2016p867239,20161116210500,-41.7224,174.1709,221,90,170,311,80,0,5.0,4.7,1.38e+23,21,7,100,1345.46,-182.23,-162.61,-1347.68,182.48,2.22,67,1380.01,7,176,1.29,80,41,-1381.30,7,266
2016p867480,20161116231300,-42.2389,173.7985,214,45,97,25,45,83,4.7,4.5,6.77e+22,18,6,93,-147.17,308.68,-46.98,-513.09,-23.12,660.25,76,-688.96,86,210,24.40,4,29,664.56,0,120
2016p869983,20161117212700,-42.1754,173.8118,68,79,148,165,58,13,4.8,4.6,1.18e+23,8,9,30,324.85,892.47,391.96,-831.25,-307.75,506.40,83,-1425.87,31,22,928.53,56,231,497.34,14,120
2016p871889,20161118142200,-42.6762,173.4158,34,72,87,222,18,98,5.0,5.3,9.51e+23,2,8,77,-1526.90,3576.72,4191.20,-3564.89,-6373.64,5091.79,88,-10087.70,63,301,1152.30,2,34,8935.40,27,126
2016p876450,20161120065200,-42.6205,173.5349,208,83,24,115,66,172,5.0,4.7,1.49e+23,11,11,71,-1236.92,840.24,-237.47,919.75,508.02,317.17,72,-1606.99,22,74,236.10,65,223,1370.89,12,339
2016p880389,20161121175100,-42.1861,173.6367,163,82,-18,256,72,-172,4.9,4.7,1.45e+23,9,9,79,818.27,1188.53,1.23,-562.30,-413.22,-255.97,82,1526.65,7,211,-1364.15,70,320,-162.50,19,118
2016p882187,20161122094900,-42.9531,173.0108,354,64,67,218,34,129,4.6,4.6,9.02e+22,4,12,71,171.69,261.69,-136.51,-782.58,-484.60,610.89,82,-973.48,64,226,142.13,20,4,831.35,16,101
2016p895574,20161127084200,-41.7263,174.2366,320,85,-7,50,83,-175,4.8,4.8,2.22e+23,14,6,54,1895.15,374.04,5.88,-2400.84,456.42,505.69,85,-2501.78,1,5,1928.95,81,104,572.82,8,275
2017p012082,20170105111700,-41.8535,173.9854,147,71,-42,254,51,-155,5.3,5.3,1.32e+24,11,13,70,9635.26,5481.84,-114.81,-4558.03,-8845.87,-5077.22,84,12157.52,12,205,2116.07,45,307,-14273.59,43,103
2017p027063,20170111001900,-41.6924,174.2502,61,86,171,152,81,4,5.1,4.6,1.08e+23,19,9,55,745.76,585.44,132.66,-1031.35,-61.91,285.58,72,-1213.22,9,16,939.67,80,217,273.55,4,107
2017p113098,20170211201800,-42.6779,172.7225,254,84,164,346,74,6,5.2,4.9,2.74e+23,8,12,90,1169.50,2266.06,-768.18,-1461.53,-14.05,292.03,87,-2811.88,16,209,2666.84,73,54,145.04,7,301
2017p135277,20170220011600,-42.7568,172.8294,72,88,-171,342,81,-2,4.8,4.5,6.74e+22,11,7,81,429.06,538.29,-92.43,-356.84,33.66,-72.21,83,708.37,5,207,-639.51,81,84,-68.86,8,298
2017p144774,20170223133500,-43.1306,171.6953,163,86,-4,253,86,-176,4.9,4.7,1.43e+23,8,13,100,812.03,1172.64,64.79,-800.95,-126.09,-11.08,87,1428.75,0,28,-1431.81,84,298,3.06,6,118
2017p161601,20170301190100,-42.9601,173.0949,224,50,108,16,43,69,5.2,4.8,2.26e+23,6,13,99,-469.69,1021.25,-597.75,-1645.45,-32.15,2115.14,88,-2253.27,75,197,-11.05,14,31,2264.33,4,301
2017p257850,20170406094200,-41.6901,174.2136,234,85,169,325,79,5,5.0,4.7,1.57e+23,21,8,39,1175.65,495.98,-171.12,-1759.16,160.43,583.50,74,-1854.95,11,190,1286.68,78,30,568.27,4,280
2017p381325,20170522021000,-42.2924,173.7772,35,82,158,129,68,8,4.6,4.3,3.51e+22,8,7,98,290.84,-89.42,108.42,-328.73,-78.39,37.89,70,349.28,21,350,2.67,66,196,-351.95,10,84
2017p708412,20170920024200,-41.4794,174.3373,349,58,54,223,47,133,5.1,4.7,1.40e+23,25,6,95,211.34,449.09,-550.03,-1228.80,-392.02,1017.45,81,1413.41,59,205,-32.54,30,10,-1380.87,6,104
